Ort,Breitengrad,Längengrad
Annaburg,51.730742,13.044533
Augustusburg,50.811951,13.102271
Barby,51.966597,11.880363
Bautzen,51.182293,14.423775
Belzig,52.142726,12.59518
Benshausen,50.645027,10.594813
Bitterfeld,51.626533,12.313306
Borstendorf,50.772826,13.179819
Brehna,51.555995,12.208787
Breitenhagen,51.923384,11.949127
Dornbach,51.841397,11.881823
Ebertshausen,50.628391,10.571659
Endorf,51.713604,11.373478
Erlenberg,,
Felgeleben,52.001895,11.758428
Gahlenz,50.8268,13.213093
Holzweißig,51.601344,12.310213
Neustadt/Orla,50.736706,11.753863
Niemegk,52.070815,12.690735
Ober-Strawalde,51.028425,14.723579
Oederan,50.861989,13.17088
Roitzsch,51.576658,12.265929
Salzfurt,51.694538,12.180794
Schköna,51.681641,12.537175
Schönerstadt,50.879627,13.144772
Sonneberg,50.360182,11.17099
Sornßig,51.129836,14.581704
Viernau,50.666415,10.554885
Zschopau,50.747446,13.07457
